name,review_count,rating,longitude,latitude,country,state,price
El Barrio,641,4.5,-86.8030741,33.5169035,US,AL,2
Saw's Soul Kitchen,800,4.5,-86.77383,33.52419,US,AL,2
Yo' Mama's,372,4.5,-86.80183,33.51766,US,AL,2
Carrigan's - Downtown,532,4.5,-86.7986459428528,33.5171239295806,US,AL,2
Hattie B's Hot Chicken - Bham,527,4.5,-86.788468,33.511543,US,AL,2
Highlands Bar & Grill,305,4.5,-86.795577,33.500572,US,AL,3
Chez Fonfon,321,4.5,-86.795709322706,33.500550020261,US,AL,2
Jack Brown's Beer & Burger Joint,505,4.0,-86.7883818,33.5111334,US,AL,2
Perry's Steakhouse & Grille - Birmingham,361,4.5,-86.72524,33.43814,US,AL,3
Gianmarco's Restaurant,408,4.5,-86.81252,33.46221,US,AL,2
Trattoria Zaza,289,4.5,-86.8063214091213,33.5155820048533,US,AL,2
Bamboo on 2nd,326,4.5,-86.80312,33.51723,US,AL,2
Blue Pacific At Hoover Foodmart,253,4.5,-86.80042,33.39689,US,AL,1
Big Spoon Creamery,234,4.5,-86.775494934365,33.523116342601,US,AL,1
Paramount Bar,319,4.5,-86.8065519751465,33.5154522532243,US,AL,2
Falafel cafe,150,5.0,-86.80287,33.50805,US,AL,1
Good People Brewing,229,4.5,-86.81218,33.506981,US,AL,1
Eugene's Hot Chicken,302,4.5,-86.807596,33.524938,US,AL,2
Melt Avondale,316,4.0,-86.772773,33.522689,US,AL,2
Saw's Juke Joint - Crestline,281,4.5,-86.7363591,33.514942,US,AL,2
EastWest,197,4.5,-86.8021,33.5178,US,AL,2
Saw's BBQ,542,4.5,-86.80825,33.47388,US,AL,2
John's City Diner,342,4.0,-86.80492,33.51552,US,AL,2
Eli's Jerusalem Grill,291,4.5,-86.7013690620661,33.4246228225051,US,AL,2
T-Bone's Authentic Philly Style Cheesesteaks and Hoagies,221,4.5,-86.7967606,33.5015907,US,AL,1
Birmingham Civil Rights Institute,106,5.0,-86.815014,33.516004,US,AL,N/A
Saigon Noodle House,298,4.5,-86.7098522186279,33.4279314128122,US,AL,2
Fancy's on Fifth,272,4.0,-86.7728867809509,33.5218411194263,US,AL,2
Nori Thai and Sushi Restaurant,231,4.5,-86.737773,33.432277,US,AL,2
Seeds Coffee - Homewood,128,4.5,-86.82911,33.46122,US,AL,2
Five Bar,328,4.0,-86.786649,33.51044,US,AL,2
Birmingham Botanical Gardens,83,5.0,-86.776021,33.490921,US,AL,N/A
Rojo,322,4.0,-86.781024,33.5060159,US,AL,2
The Collins Bar,203,4.5,-86.803801719475,33.5164804310902,US,AL,2
Giuseppe's Cafe,200,4.5,-86.8140072,33.4946995,US,AL,2
Wasabi Juan's,248,4.5,-86.79992,33.51211,US,AL,2
Railroad Park,100,4.5,-86.8095,33.50952,US,AL,N/A
Masaman Thai Kitchen,153,4.5,-86.7925914481406,33.444254326587,US,AL,2
The Atomic Lounge,146,4.5,-86.80343,33.51518,US,AL,2
Dos Hermanos Taco Truck,116,5.0,-86.83613,33.46531,US,AL,1
Avondale Common House,234,4.0,-86.7739483021385,33.5240510206108,US,AL,2
Steel City Pops - Homewood,166,4.5,-86.7945541070769,33.4793697474837,US,AL,1
Big Bad Breakfast,310,4.5,-86.7882875,33.4795618,US,AL,2
Slice Pizza & Brewhouse - Lakeview,325,4.0,-86.786411,33.5112443,US,AL,2
Big Bad Breakfast,420,4.0,-86.674086843523,33.4202564135765,US,AL,2
Urban Cookhouse,209,4.0,-86.788776,33.479907,US,AL,2
Pies & Pints,254,4.0,-86.8031881028836,33.5111115161834,US,AL,2
Makarios,241,4.0,-86.797564,33.502014,US,AL,2
Carrigan’s Beer Garden,222,4.5,-86.78786,33.51353,US,AL,2
The Fig Tree,213,4.0,-86.7336712,33.454756,US,AL,2
The Root Cafe,625,4.5,-92.2735151687866,34.7341998705672,US,AR,2
Three Fold Noodles and Dumpling,615,4.5,-92.2712163,34.7426106,US,AR,2
Big Orange,453,4.5,-92.3394312865829,34.7531331313556,US,AR,2
The Pantry Restaurant,334,4.5,-92.40066,34.77185,US,AR,2
At The Corner,369,4.5,-92.2689344760212,34.7478059477212,US,AR,2
Flying Fish,591,4.0,-92.2651341270531,34.7471962853891,US,AR,2
Whole Hog Cafe,412,4.0,-92.3058312657456,34.7603266484997,US,AR,2
Layla's Market,213,4.5,-92.3799209594727,34.75927734375,US,AR,1
Star of India Restaurant,230,4.5,-92.3934347445619,34.7549293580292,US,AR,2
ZAZA Fine Salad + Wood-Oven Pizza,255,4.0,-92.33653,34.77062,US,AR,2
Soul Fish Cafe,226,4.5,-92.2710830607826,34.7458462669826,US,AR,2
Gus's World Famous Fried Chicken,414,4.0,-92.2678119,34.7477639,US,AR,1
Kemuri,196,4.5,-92.322067,34.757112,US,AR,2
Buenos Aires Grill & Cafe,149,4.5,-92.2636,34.7474599,US,AR,2
Taqueria El Palenque,144,4.5,-92.3795964367079,34.7595502051828,US,AR,1
Dizzy's Gypsy Bistro,289,4.0,-92.265947,34.745829,US,AR,2
Mylo Coffee Co,156,4.5,-92.323741,34.757341,US,AR,2
Maddie's Place,171,4.5,-92.30963,34.76547,US,AR,2
Table 28,146,4.5,-92.3988742,34.767405,US,AR,3
Kebab House,134,4.5,-92.400995,34.753604,US,AR,1
Little Rock Central High School National Historic Site,72,5.0,-92.2974191031011,34.738174209807,US,AR,N/A
Cafe Bossa Nova,140,4.5,-92.323326,34.757087,US,AR,2
Samantha's Tap Room & Wood Grill,302,4.0,-92.271056,34.745374,US,AR,2
Tokyo House,194,4.0,-92.396227,34.75547,US,AR,2
Petit & Keet,117,4.5,-92.39901,34.76891,US,AR,3
Local Lime,248,4.0,-92.4594895436554,34.7679618728401,US,AR,2
Zangna Thai Cuisine,167,4.0,-92.39649,34.73075,US,AR,2
Flying Saucer,326,4.0,-92.2675555757702,34.7475614618603,US,AR,2
Loblolly Creamery,124,4.5,-92.27269,34.73449,US,AR,2
Kiyens,145,4.5,-92.4530709017135,34.7625766467656,US,AR,2
Big Orange,215,4.0,-92.4592101573944,34.7677131732541,US,AR,2
Heights Taco & Tamale,212,4.0,-92.33853,34.77,US,AR,2
Taj Mahal Indian Kitchen,156,4.0,-92.3984617171967,34.7689977240346,US,AR,2
Mr. Chen's Authentic Chinese Cooking,165,4.0,-92.3406374081969,34.7156636957477,US,AR,1
Doe's Eat Place,177,4.0,-92.282112121582,34.7493858337402,US,AR,2
Bruno's Little Italy,164,4.0,-92.27177,34.7457,US,AR,2
Brave New Restaurant,145,4.0,-92.30027,34.76157,US,AR,3
David's Burgers,132,4.5,-92.406499,34.753454,US,AR,1
The Fold: Botanas & Bar,196,4.0,-92.311427,34.764843,US,AR,2
The Pantry Crest,68,4.5,-92.3256378,34.7579803,US,AR,2
kBird,91,4.5,-92.33356,34.75653,US,AR,2
YaYa's Euro Bistro,204,4.0,-92.4577,34.7658,US,AR,2
Mike's Cafe,119,4.0,-92.33495,34.71881,US,AR,2
Poke Hula,75,4.5,-92.2663466000344,34.7454459582004,US,AR,2
MeMe's Twisted Potato,43,5.0,-92.3076777532697,34.7296893670719,US,AR,2
William J Clinton Presidential Center,158,4.0,-92.2585349197437,34.7464896617003,US,AR,N/A
Nexus Coffee and Creative,89,4.5,-92.2677185386419,34.7476433931439,US,AR,2
One Eleven At The Capital,74,4.5,-92.271263,34.74789,US,AR,2
Capital Bar and Grill,168,4.0,-92.271306,34.747855,US,AR,2
David's Burgers - Little Rock,105,4.5,-92.4109452331299,34.6570873506432,US,AR,1
Adobo Food Truck,29,3.5,-105.016609191895,39.7644233703613,US,CO,N/A
Cocina Madrigal,1535,5.0,-112.047269,33.4092352,US,AZ,2
Novel Ice Cream,786,5.0,-112.086609899998,33.4554224747171,US,AZ,1
Cibo,2240,4.5,-112.079908,33.45496,US,AZ,2
Harumi Sushi & Sake,1480,4.5,-112.075330974205,33.4497491809777,US,AZ,2
La Santisima Gourmet Taco Shop,2217,4.0,-112.04739,33.4692,US,AZ,2
Lux Central,2296,4.0,-112.074237169975,33.5005972575259,US,AZ,2
Pizzeria Bianco,2599,4.0,-112.0656115,33.4492351,US,AZ,2
Matt's Big Breakfast,2116,4.0,-112.072295342328,33.4574481512938,US,AZ,2
Steak 44,1338,4.5,-111.986075634918,33.5114708111365,US,AZ,3
Postino Arcadia,1366,4.5,-111.996269226074,33.5021667480469,US,AZ,2
The Arrogant Butcher,2431,4.0,-112.072831046558,33.4473917315183,US,AZ,2
Postino Central,1193,4.5,-112.07414,33.51268,US,AZ,2
Zookz Sandwiches,929,4.5,-112.0718480453,33.509664,US,AZ,1
Vovomeena,1119,4.5,-112.082074,33.46542,US,AZ,2
The Parlor,1455,4.5,-112.0403946,33.5094461,US,AZ,2
Chanpen Thai Cuisine,821,4.5,-112.02248,33.40666,US,AZ,2
The Clever Koi,1351,4.5,-112.07415,33.49747,US,AZ,2
Lo-Lo's Chicken & Waffles,2197,4.0,-112.073970303931,33.4353717916279,US,AZ,2
Presidio Cocina Mexicana,740,4.5,-112.0813133,33.4801951,US,AZ,2
Green New American Vegetarian,1019,4.5,-112.065474,33.47014,US,AZ,2
Bitter & Twisted Cocktail Parlour,1224,4.0,-112.073873095866,33.4469954665414,US,AZ,2
Chelsea's Kitchen,1624,4.0,-111.99558,33.51161,US,AZ,2
Taco Guild,2168,4.0,-112.065664676935,33.487639,US,AZ,2
Pomo Pizzeria - Phoenix,854,4.5,-112.0722832,33.4558709,US,AZ,2
"Snooze, an A.M. Eatery",1570,4.0,-112.037087,33.508137,US,AZ,2
Urban Cookies Bake Shop,688,4.5,-112.0648051,33.474172,US,AZ,2
The Kettle Black Kitchen & Pub,946,4.5,-112.072362,33.44865,US,AZ,2
Churn,938,4.5,-112.073389423228,33.5135036415709,US,AZ,1
Angels Trumpet Ale House,1193,4.0,-112.07156724527,33.457054176513,US,AZ,2
Windsor,1256,4.0,-112.073381,33.513575,US,AZ,2
Federal Pizza,1062,4.5,-112.07419,33.51353,US,AZ,2
Nami,818,4.5,-112.065431,33.469968,US,AZ,1
Hula's Modern Tiki,1304,4.0,-112.06534,33.5116,US,AZ,2
The Gladly,881,4.5,-112.034109,33.508931,US,AZ,2
Tres Leches Cafe,491,4.5,-112.096495,33.451481,US,AZ,1
Mariscos Playa Hermosa,765,4.5,-112.0472939,33.457516,US,AZ,2
Dick's Hideaway,1026,4.5,-112.047840593918,33.5241701058918,US,AZ,2
Durant's,1027,4.0,-112.073533121638,33.4772064084412,US,AZ,3
Glai Baan,539,4.5,-112.03084,33.48727,US,AZ,2
Buck & Rider,983,4.5,-111.9887,33.5092,US,AZ,3
The Henry,1574,4.0,-111.984304687697,33.5088410019446,US,AZ,2
Short Leash Hotdogs & Rollover Doughnuts,922,4.0,-112.08317,33.49748,US,AZ,2
The Macintosh,811,4.5,-112.037502106607,33.5075723503023,US,AZ,2
Camelback Mountain,635,4.5,-111.97437286377,33.5219518275351,US,AZ,N/A
True Food Kitchen,1311,4.0,-112.027687,33.510265,US,AZ,2
Barrio Café,1577,4.0,-112.04789,33.47903,US,AZ,2
Tuck Shop Kitchen & Bar,685,4.5,-112.05621,33.47202,US,AZ,2
Reathrey Sekong,547,4.5,-112.05376,33.4948549,US,AZ,2
The Bagel Man,672,4.5,-111.976659434918,33.347925219217,US,AZ,1
Thai E-San,733,4.5,-112.0822129,33.4951554,US,AZ,2
South Gate Brewing Company,1112,4.0,-119.660292,37.3331104,US,CA,2
The Cool Bean Cafe,267,4.5,-119.65455,37.33215,US,CA,1
Smokehouse 41,332,4.5,-119.6438753,37.3389265,US,CA,2
Plazuelas Mexican Restaurant & Taqueria,467,4.5,-119.6563089,37.331555,US,CA,2
The Elderberry House,204,4.5,-119.66039,37.32749,US,CA,4
Casa Velasco Mexican Restaurant,174,4.5,-119.5586,37.32073,US,CA,2
Love Cafe,132,5.0,-119.656734,37.3297068,US,CA,1
Wild Fig Kitchen,217,4.5,-119.700374975394,37.2622980132899,US,CA,2
Shaver Lake Pizza,290,3.5,-119.3191947,37.1074244,US,CA,1
Pete's Place,329,4.0,-119.65481,37.33106,US,CA,1
Seasons Bistro and Tavern,82,4.5,-119.318726509809,37.1075458164477,US,CA,N/A
Yosemite National Park,1126,4.5,-119.585552,37.747525,US,CA,N/A
Huntington Lake,30,4.5,-119.161609075963,37.2554330018814,US,CA,N/A
Ducey's on the Lake,344,3.5,-119.557156,37.31899,US,CA,2
REV's Farm House,153,4.5,-119.649139,37.3326079,US,CA,2
Shaver Lake Pub N Grub,124,4.0,-119.318211860955,37.1075958172791,US,CA,2
SKADI,321,5.0,-118.9829,37.6512,US,CA,3
Bob's Blue Sky Cafe,133,3.5,-119.318577,37.106465,US,CA,1
Hungry Hut,263,3.5,-119.3194913,37.1093496,US,CA,2
Black Velvet Coffee,633,4.5,-118.97161,37.6477099,US,CA,1
Reimer's Candies & Gifts,96,4.5,-119.644062,37.3594409,US,CA,1
The Stove Restaurant,919,4.0,-118.96669,37.63669,US,CA,2
Dog House Grill,2144,4.0,-119.736666,36.808409,US,CA,2
Half Dome Day Hike,289,5.0,-119.533205,37.745965,US,CA,N/A
Toomey's,1066,4.0,-118.984544033747,37.6499640056732,US,CA,2
Dicicco's Italian Restaurant,242,4.0,-119.65112,37.33345,US,CA,2
Don Fernando's,73,5.0,-119.569465,37.014093,US,CA,2
El Cid Mexican Cuisine,369,3.5,-119.644107,37.358658,US,CA,2
House of JuJu,1059,4.5,-119.701834,36.823308,US,CA,2
The Mogul Restaurant,474,4.5,-118.96671,37.64519,US,CA,3
Roberto's Cafe,904,4.0,-118.965881347656,37.6419677734375,US,CA,2
The Cake Barn,192,5.0,-112.60867,34.72058,US,CA,2
Batter Up Pancakes,960,4.5,-119.7582005,36.8525455,US,CA,2
Heirloom,832,4.5,-119.783807,36.85647,US,CA,2
Shaver Lake,20,4.5,-119.305375814438,37.1341309042165,US,CA,N/A
The Trading Post,95,3.5,-119.31953,37.10655,US,CA,2
Mariposa Grove of Giant Sequoias,95,4.5,-119.599621747292,37.5232705429064,US,CA,N/A
The Forks Resort,129,3.5,-119.57202118342,37.3135100513025,US,CA,2
Shaver Coffee & Deli,70,4.0,-119.31951,37.10618,US,CA,1
Rocket Dog Gourmet Brats & Brew,876,4.5,-119.788546097112,36.8088049482694,US,CA,1
Red Apple Cafe,933,4.5,-119.801605,36.837659,US,CA,2
The Annex Kitchen,1178,4.5,-119.83229,36.80758,US,CA,3
The Craft House,499,4.5,-119.7022984,36.8209001,US,CA,2
Velasco's Mexican Restaurant,117,4.0,-119.516326,37.037918,US,CA,1
Oakhurst Grill and Whiskey 41 Lounge,140,4.0,-119.646133705974,37.3360280886114,US,CA,2
Bass Lake Recreation Area,60,4.0,-119.58279,37.3249,US,CA,N/A
Osito's Mexican Pub,44,4.0,-119.318182,37.099441,US,CA,N/A
Sam's Italian Deli & Market,700,4.5,-119.7728,36.7726,US,CA,2
China Delight,218,3.5,-119.64673,37.33496,US,CA,2
Mammoth Rock Brasserie,287,4.5,-118.96491,37.63679,US,CA,3
Denver Biscuit Co.,3673,4.5,-104.949098,39.740384,US,CO,2
"Snooze, an A.M. Eatery",4162,4.5,-104.988913938884,39.755459608447,US,CO,2
Root Down,3355,4.5,-105.0056,39.76306,US,CO,2
Little Man Ice Cream,2227,4.5,-105.01104,39.7595,US,CO,1
Rioja,2216,4.5,-104.999331349925,39.7478083125095,US,CO,3
Linger,3348,4.0,-105.01139,39.75954,US,CO,2
Work & Class,1442,4.5,-104.98604,39.75761,US,CO,2
Sushi Den,1811,4.5,-104.980763,39.68962,US,CO,3
"Snooze, an A.M. Eatery",1748,4.0,-104.940446262566,39.7275615225745,US,CO,2
Steuben's Uptown,2716,4.0,-104.98017,39.74349,US,CO,2
Chop Shop Casual Urban Eatery Colfax,1062,4.5,-104.92935,39.73987,US,CO,2
Angelo’s Taverna,1086,4.5,-104.979224,39.725523,US,CO,2
Guard and Grace,1106,4.5,-104.989654496312,39.7476811908831,US,CO,3
